Year,Date ,Time ,HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance
2010,25-Jan-10,17:00,Egypt , Cameroon,3,1,Quarter-finals, win after extra time ,Estádio Nacional de Ombaka, Benguela,12000
2010,25-Jan-10,20:30,Zambia , Nigeria,0,0,Quarter-finals, Nigeria win on Penalities 4-5,Estádio Nacional da Tundavala, Lubango,10000
2010,28-Jan-10,16:00,Ghana , Nigeria,1,0,Semi-finals,,Estádio 11 de Novembro, Luanda,7500
2010,28-Jan-10,20:30,Algeria , Egypt,0,4,Semi-finals,,Estádio Nacional de Ombaka, Benguela,25000
2010,30-Jan-10,17:00,Nigeria , Algeria,1,0,Third place play-off,,Estádio Nacional de Ombaka, Benguela,12000
2010,31-Jan-10,17:00,Ghana , Egypt,0,1,Final,,Estádio 11 de Novembro, Luanda,45000
2012,4-Feb-12,17:00,Zambia , Sudan,3,0,Quarterfinals,,Estadio de Bata, Bata,200
2012,4-Feb-12,20:00,Ivory Coast , Equatorial Guinea,3,0,Quarterfinals,,Nuevo Estadio de Malabo, Malabo,12500
2012,5-Feb-12,17:00,Gabon , Mali,1,1,Quarterfinals, Mali win on Penalities 4-5,Stade d'Angondjé, Libreville,30000
2012,5-Feb-12,20:00,Ghana , Tunisia,2,1,Quarterfinals, win after extra time ,Stade de Franceville, Franceville,8000
2012,8-Feb-12,17:00,Zambia , Ghana,1,0,Semifinals,,Estadio de Bata, Bata,12000
2012,8-Feb-12,20:00,Mali , Ivory Coast,0,1,Semifinals,,Stade d'Angondjé, Libreville,32000
2012,11-Feb-12,20:00,Ghana , Mali,0,2,Third place match,,Nuevo Estadio de Malabo, Malabo,15000
2012,12-Feb-12,20:30[note 1],Zambia , Ivory Coast,0,0,Final,Zambia  win on Penalities 8-7,Stade d'Angondjé, Libreville,40000
2013,2-Feb-13,17:00,Ghana , Cape Verde,2,0,Quarter-finals,,Nelson Mandela Bay Stadium, Port Elizabeth,8000
2013,2-Feb-13,20:30,South Africa , Mali,1,1,Quarter-finals, Mali win on Penalities 1-3,Moses Mabhida Stadium, Durban,45000
2013,3-Feb-13,17:00,Ivory Coast , Nigeria,1,2,Quarter-finals,,Royal Bafokeng Stadium, Rustenburg,25000
2013,3-Feb-13,20:30,Burkina Faso , Togo,1,0,Quarter-finals, win after extra time ,Mbombela Stadium, Nelspruit,27000
2013,6-Feb-13,17:00,Mali , Nigeria,1,4,Semi-finals,,Moses Mabhida Stadium, Durban,54000
2013,6-Feb-13,20:30,Burkina Faso , Ghana,1,1,Semi-finals,Burkina Faso  win on Penalities 3-2,Mbombela Stadium, Nelspruit,35000
2013,9-Feb-13,20:00,Mali , Ghana,3,1,Third place play-off,,Nelson Mandela Bay Stadium, Port Elizabeth,6000
2013,10-Feb-13,20:30,Nigeria , Burkina Faso,1,0,Final,,FNB Stadium, Johannesburg,85000
2015,31-Jan-15,17:00,Congo , DR Congo,2,4,Quarter-finals,,Estadio de Bata, Bata,31670
2015,31-Jan-15,20:30,Tunisia , Equatorial Guinea,1,2,Quarter-finals, win after extra time ,Estadio de Bata, Bata,41000
2015,1-Feb-15,17:00,Ghana , Guinea,3,0,Quarter-finals,,Nuevo Estadio de Malabo, Malabo,14500
2015,1-Feb-15,20:30,Ivory Coast , Algeria,3,1,Quarter-finals,,Nuevo Estadio de Malabo, Malabo,15000
2015,4-Feb-15,20:00,DR Congo , Ivory Coast,1,3,Semi-finals,,Estadio de Bata, Bata,30000
2015,5-Feb-15,20:00,Ghana , Equatorial Guinea,3,0,Semi-finals,,Nuevo Estadio de Malabo, Malabo,15520
2015,7-Feb-15,17:00,DR Congo , Equatorial Guinea,0,0,Third place play-off,,Nuevo Estadio de Malabo, Malabo,15520
2015,8-Feb-15,20:00,Ivory Coast , Ghana,0,0,Final,Ivory Coast  win on Penalities 9-8,Estadio de Bata, Bata,32857
2017,14 January 2017 (2017-01-14),17:00,Gabon , Guinea-Bissau,1,1,Group A,,Stade de l'Amitié, Libreville,39230
2017,14 January 2017 (2017-01-14),20:00,Burkina Faso , Cameroon,1,1,Group A,,Stade de l'Amitié, Libreville,20720
2017,18 January 2017 (2017-01-18),17:00,Gabon , Burkina Faso,1,1,Group A,,Stade de l'Amitié, Libreville,38250
2017,18 January 2017 (2017-01-18),20:00,Cameroon , Guinea-Bissau,2,1,Group A,,Stade de l'Amitié, Libreville,
2017,22 January 2017 (2017-01-22),20:00,Cameroon , Gabon,0,0,Group A,,Stade de l'Amitié, Libreville,
2017,22 January 2017 (2017-01-22),20:00,Guinea-Bissau , Burkina Faso,0,2,Group A,,Stade de Franceville, Franceville,
2017,15 January 2017 (2017-01-15),17:00,Algeria , Zimbabwe,2,2,Group B,,Stade de Franceville, Franceville,
2017,15 January 2017 (2017-01-15),20:00,Tunisia , Senegal,0,2,Group B,,Stade de Franceville, Franceville,
2017,19 January 2017 (2017-01-19),17:00,Algeria , Tunisia,1,2,Group B,,Stade de Franceville, Franceville,
2017,19 January 2017 (2017-01-19),20:00,Senegal , Zimbabwe,2,0,Group B,,Stade de Franceville, Franceville,
2017,23 January 2017 (2017-01-23),20:00,Senegal , Algeria,2,2,Group B,,Stade de Franceville, Franceville,
2017,23 January 2017 (2017-01-23),20:00,Zimbabwe , Tunisia,2,4,Group B,,Stade de l'Amitié, Libreville,
2017,16 January 2017 (2017-01-16),17:00,Ivory Coast , Togo,0,0,Group C,,Stade d'Oyem, Oyem,
2017,16 January 2017 (2017-01-16),20:00,DR Congo , Morocco,1,0,Group C,,Stade d'Oyem, Oyem,
2017,20 January 2017 (2017-01-20),17:00,Ivory Coast , DR Congo,2,2,Group C,,Stade d'Oyem, Oyem,
2017,20 January 2017 (2017-01-20),20:00,Morocco , Togo,3,1,Group C,,Stade d'Oyem, Oyem,
2017,24 January 2017 (2017-01-24),20:00,Morocco , Ivory Coast,1,0,Group C,,Stade d'Oyem, Oyem,
2017,24 January 2017 (2017-01-24),20:00,Togo , DR Congo,1,3,Group C,,Stade de Port-Gentil, Port-Gentil,
2017,17 January 2017 (2017-01-17),17:00,Ghana , Uganda,1,0,Group D,,Stade de Port-Gentil, Port-Gentil,
2017,17 January 2017 (2017-01-17),20:00,Mali , Egypt,0,0,Group D,,Stade de Port-Gentil, Port-Gentil,
2017,21 January 2017 (2017-01-21),17:00,Ghana , Mali,1,0,Group D,,Stade de Port-Gentil, Port-Gentil,
2017,21 January 2017 (2017-01-21),20:00,Egypt , Uganda,1,0,Group D,,Stade de Port-Gentil, Port-Gentil,
2017,25 January 2017 (2017-01-25),20:00,Egypt , Ghana,1,0,Group D,,Stade de Port-Gentil, Port-Gentil,
2017,25 January 2017 (2017-01-25),20:00,Uganda , Mali,1,1,Group D,,Stade d'Oyem, Oyem,
2017,28 January 2017 (2017-01-28),17:00,Burkina Faso , Tunisia,2,0,Quarter-finals,,Stade de l'Amitié, Libreville,
2017,28 January 2017 (2017-01-28),20:00,Senegal , Cameroon,0,0,Quarter-finals, Cameroon win on Penalities 4-5,Stade de Franceville, Franceville,
2017,29 January 2017 (2017-01-29),17:00,DR Congo , Ghana,1,2,Quarter-finals,,Stade d'Oyem, Oyem,
2017,29 January 2017 (2017-01-29),20:00,Egypt , Morocco,1,0,Quarter-finals,,Stade de Port-Gentil, Port-Gentil,
2017,1 February 2017 (2017-02-01),20:00,Burkina Faso , Egypt,1,1,Semi-finals, Egypt win on Penalities 3-4,Stade de l'Amitié, Libreville,
2017,2 February 2017 (2017-02-02),20:00,Cameroon , Ghana,2,0,Semi-finals,,Stade de Franceville, Franceville,
2017,4 February 2017 (2017-02-04),20:00,Burkina Faso , Ghana,1,0,Third place play-off,,Stade de Port-Gentil, Port-Gentil,
2017,5 February 2017 (2017-02-05),20:00,Egypt , Cameroon,1,2,Final,,Stade de l'Amitié, Libreville,
2019,21 June 2019 (2019-06-21),22:00,Egypt , Zimbabwe,1,0,Group A,,Cairo International Stadium, Cairo,73299
2019,22 June 2019 (2019-06-22),16:30,DR Congo , Uganda,0,2,Group A,,Cairo International Stadium, Cairo,1083
2019,26 June 2019 (2019-06-26),19:00,Uganda , Zimbabwe,1,1,Group A,,Cairo International Stadium, Cairo,73589
2019,26 June 2019 (2019-06-26),22:00,Egypt , DR Congo,2,0,Group A,,Cairo International Stadium, Cairo,74219
2019,30 June 2019 (2019-06-30),21:00,Uganda , Egypt,0,2,Group A,,Cairo International Stadium, Cairo,74566
2019,30 June 2019 (2019-06-30),21:00,Zimbabwe , DR Congo,0,4,Group A,,30 June Stadium, Cairo,4364
2019,22 June 2019 (2019-06-22),19:00,Nigeria , Burundi,1,0,Group B,,Alexandria Stadium, Alexandria,3192
2019,22 June 2019 (2019-06-22),22:00,Guinea , Madagascar,2,2,Group B,,Alexandria Stadium, Alexandria,5342
2019,26 June 2019 (2019-06-26),16:30,Nigeria , Guinea,1,0,Group B,,Alexandria Stadium, Alexandria,10388
2019,27 June 2019 (2019-06-27),16:30,Madagascar , Burundi,1,0,Group B,,Alexandria Stadium, Alexandria,4900
2019,30 June 2019 (2019-06-30),18:00,Madagascar , Nigeria,2,0,Group B,,Alexandria Stadium, Alexandria,9895
2019,30 June 2019 (2019-06-30),18:00,Burundi , Guinea,0,2,Group B,,Al Salam Stadium, Cairo,5753
2019,23 June 2019 (2019-06-23),19:00,Senegal , Tanzania,2,0,Group C,,30 June Stadium, Cairo,7249
2019,23 June 2019 (2019-06-23),22:00,Algeria , Kenya,2,0,Group C,,30 June Stadium, Cairo,8071
2019,27 June 2019 (2019-06-27),19:00,Senegal , Algeria,0,1,Group C,,30 June Stadium, Cairo,25765
2019,27 June 2019 (2019-06-27),22:00,Kenya , Tanzania,3,2,Group C,,30 June Stadium, Cairo,7233
2019,1 July 2019 (2019-07-01),21:00,Kenya , Senegal,0,3,Group C,,30 June Stadium, Cairo,13224
2019,1 July 2019 (2019-07-01),21:00,Tanzania , Algeria,0,3,Group C,,Al Salam Stadium, Cairo,8921
2019,23 June 2019 (2019-06-23),16:30,Morocco , Namibia,1,0,Group D,,Al Salam Stadium, Cairo,6857
2019,24 June 2019 (2019-06-24),16:30,Ivory Coast , South Africa,1,0,Group D,,Al Salam Stadium, Cairo,4961
2019,28 June 2019 (2019-06-28),19:00,Morocco , Ivory Coast,1,0,Group D,,Al Salam Stadium, Cairo,27500
2019,28 June 2019 (2019-06-28),22:00,South Africa , Namibia,1,0,Group D,,Al Salam Stadium, Cairo,16090
2019,1 July 2019 (2019-07-01),18:00,South Africa , Morocco,0,1,Group D,,Al Salam Stadium, Cairo,12098
2019,1 July 2019 (2019-07-01),18:00,Namibia , Ivory Coast,1,4,Group D,,30 June Stadium, Cairo,7530
2019,24 June 2019 (2019-06-24),19:00,Tunisia , Angola,1,1,Group E,,Suez Stadium, Suez,7345
2019,24 June 2019 (2019-06-24),22:00,Mali , Mauritania,4,1,Group E,,Suez Stadium, Suez,6202
2019,28 June 2019 (2019-06-28),16:30,Tunisia , Mali,1,1,Group E,,Suez Stadium, Suez,16085
2019,29 June 2019 (2019-06-29),16:30,Mauritania , Angola,0,0,Group E,,Suez Stadium, Suez,10120
2019,2 July 2019 (2019-07-02),21:00,Mauritania , Tunisia,0,0,Group E,,Suez Stadium, Suez,7732
2019,2 July 2019 (2019-07-02),21:00,Angola , Mali,0,1,Group E,,Ismailia Stadium, Ismailia,8135
2019,25 June 2019 (2019-06-25),19:00,Cameroon , Guinea-Bissau,2,0,Group F,,Ismailia Stadium, Ismailia,5983
2019,25 June 2019 (2019-06-25),22:00,Ghana , Benin,2,2,Group F,,Ismailia Stadium, Ismailia,8094
2019,29 June 2019 (2019-06-29),19:00,Cameroon , Ghana,0,0,Group F,,Ismailia Stadium, Ismailia,16724
2019,29 June 2019 (2019-06-29),22:00,Benin , Guinea-Bissau,0,0,Group F,,Ismailia Stadium, Ismailia,9212
2019,2 July 2019 (2019-07-02),18:00,Benin , Cameroon,0,0,Group F,,Ismailia Stadium, Ismailia,14120
2019,2 July 2019 (2019-07-02),18:00,Guinea-Bissau , Ghana,0,2,Group F,,Suez Stadium, Suez,6905
2019,5 July 2019 (2019-07-05),18:00,Morocco , Benin,1,1,Round of 16, Benin win on Penalities 1-4,Al Salam Stadium, Cairo,7500
2019,5 July 2019 (2019-07-05),21:00,Uganda , Senegal,0,1,Round of 16,,Cairo International Stadium, Cairo,6950
2019,6 July 2019 (2019-07-06),18:00,Nigeria , Cameroon,3,2,Round of 16,,Alexandria Stadium, Alexandria,10000
2019,6 July 2019 (2019-07-06),21:00,Egypt , South Africa,0,1,Round of 16,,Cairo International Stadium, Cairo,75000
2019,7 July 2019 (2019-07-07),18:00,Madagascar , DR Congo,2,2,Round of 16,Madagascar  win on Penalities 4-2,Alexandria Stadium, Alexandria,5890
2019,7 July 2019 (2019-07-07),21:00,Algeria , Guinea,3,0,Round of 16,,30 June Stadium, Cairo,8205
2019,8 July 2019 (2019-07-08),18:00,Mali , Ivory Coast,0,1,Round of 16,,Suez Stadium, Suez,7672
2019,8 July 2019 (2019-07-08),21:00,Ghana , Tunisia,1,1,Round of 16, Tunisia win on Penalities 4-5,Ismailia Stadium, Ismailia,8890
2019,10 July 2019 (2019-07-10),18:00,Senegal , Benin,1,0,Quarter-finals,,30 June Stadium, Cairo,5798
2019,10 July 2019 (2019-07-10),21:00,Nigeria , South Africa,2,1,Quarter-finals,,Cairo International Stadium, Cairo,48343
2019,11 July 2019 (2019-07-11),18:00,Ivory Coast , Algeria,1,1,Quarter-finals, Algeria win on Penalities 3-4,Suez Stadium, Suez,8233
2019,11 July 2019 (2019-07-11),21:00,Madagascar , Tunisia,0,3,Quarter-finals,,Al Salam Stadium, Cairo,7568
2019,14 July 2019 (2019-07-14),18:00,Senegal , Tunisia,1,0,Semi-finals, win after extra time ,30 June Stadium, Cairo,9143
2019,14 July 2019 (2019-07-14),21:00,Algeria , Nigeria,2,1,Semi-finals,,Cairo International Stadium, Cairo,49775
2019,17 July 2019 (2019-07-17),21:00,Tunisia , Nigeria,0,1,Third place play-off,,Al Salam Stadium, Cairo,6340
2019,19 July 2019 (2019-07-19),21:00,Senegal , Algeria,0,1,Final,,Cairo International Stadium, Cairo,75000
